14.74 18.69 33.04 54.50 69.47 56.32 49.08 39.93 43.69 24.11 16.40 14.11
18.71 23.98 34.15 42.02 41.36 28.05 24.45 21.11 30.38 21.42 15.85 19.36
12.62 17.20 20.87 24.88 31.52 32.84 33.12 22.09 15.79 14.69 13.33 12.81
15.15 22.43 30.38 41.84 52.29 57.46 59.66 49.40 30.43 19.64 15.23 14.18
24.99 39.35 55.19 80.95 92.87 68.26 50.63 30.02 15.56 10.32 20.90 22.68
13.99 21.54 34.77 59.40 96.59 110.36 65.03 60.79 60.78 30.50 17.73 12.54
5.84 11.68 23.68 54.93 87.20 89.22 82.94 51.80 26.99 15.19 8.49 6.86
6.15 10.64 23.83 53.32 81.18 87.07 86.90 57.63 27.89 15.31 8.77 5.44
21.83 26.18 33.29 49.72 74.33 86.89 75.62 58.61 41.10 29.24 26.71 22.18
23.37 24.27 35.85 42.18 61.76 41.28 21.94 24.01 25.34 23.96 23.52 21.19
17.32 25.05 41.98 62.47 90.86 96.73 68.94 50.04 54.23 39.75 22.94 16.16
11.84 15.66 19.94 26.38 34.10 30.87 31.19 19.38 14.15 14.45 13.74 12.08
20.98 30.85 44.57 53.54 69.53 46.55 27.64 27.75 38.22 23.16 22.32 23.36
16.69 24.15 39.26 61.23 72.58 69.46 59.82 50.31 38.17 30.01 22.99 16.37
25.09 34.07 49.55 72.49 94.50 82.66 48.95 34.64 43.95 35.36 31.18 23.48
29.66 39.68 52.07 65.18 86.02 83.93 59.65 48.64 63.91 47.07 35.54 27.96
21.92 29.30 36.35 55.24 89.54 96.47 64.38 49.28 56.51 39.58 29.17 20.34
23.62 28.35 39.97 61.05 73.80 79.07 36.64 22.79 29.66 34.83 34.74 24.43
17.83 24.53 38.36 59.85 88.36 92.11 52.51 31.79 36.25 33.95 27.44 19.65
16.07 24.08 38.57 60.53 96.76 114.53 73.47 46.11 52.81 32.94 19.28 14.11
18.89 26.40 42.49 67.57 95.88 69.54 37.76 29.94 36.44 31.57 25.31 18.86
17.97 24.67 36.58 54.73 75.26 72.37 52.87 39.34 37.25 27.00 21.50 17.53
