54.79 51.22 51.98 53.65 56.47 51.40 45.18 41.85 53.69 49.40 44.89 49.64
44.80 44.57 45.36 42.39 42.21 37.11 33.29 29.03 36.10 39.87 39.54 47.87
44.51 47.02 47.99 47.97 48.84 42.43 33.53 37.52 36.77 41.24 44.93 45.86
35.18 42.80 47.85 44.83 58.26 61.20 55.65 45.02 48.06 44.27 43.10 35.37
47.34 48.74 52.45 53.40 51.42 46.08 41.48 42.12 40.47 33.90 37.99 45.22
46.81 45.35 52.46 50.49 48.27 45.96 42.97 41.75 36.79 26.95 37.13 42.03
44.25 44.64 42.73 40.46 41.02 34.66 24.31 24.46 31.57 37.46 44.43 47.47
47.57 54.81 56.48 61.49 65.52 69.05 57.53 46.98 49.54 46.09 47.42 49.38
44.41 43.36 46.34 48.26 46.63 42.94 35.71 29.89 35.58 37.76 44.27 46.66
57.76 64.28 60.20 53.70 48.16 21.20 25.60 26.19 28.85 35.03 45.53 48.34
31.00 37.10 37.19 37.52 38.90 29.94 22.19 24.22 35.01 34.32 34.35 31.72
41.30 45.48 42.39 44.86 45.14 32.17 24.77 23.49 29.97 36.07 44.95 48.48
64.03 58.94 50.83 53.22 49.46 40.38 28.26 27.98 42.61 51.30 61.80 65.28
39.21 39.16 38.39 40.00 51.93 53.81 40.85 39.14 48.32 40.94 37.35 38.19
51.31 54.11 52.53 55.54 55.57 55.75 44.47 46.64 45.65 47.61 52.65 50.83
53.90 54.90 53.57 60.96 56.41 59.67 43.65 41.27 50.56 49.06 51.88 46.68
46.76 48.53 48.67 49.30 50.26 45.24 37.46 35.47 40.60 40.70 44.51 46.19
