0.038 0.037 0.040 0.049 0.042 0.021 0.012 0.013 0.022 0.027 0.052 0.042
0.044 0.047 0.044 0.037 0.040 0.022 0.014 0.015 0.041 0.044 0.055 0.046
0.092 0.075 0.094 0.072 0.086 0.054 0.037 0.044 0.047 0.059 0.083 0.091
0.092 0.075 0.094 0.072 0.086 0.054 0.037 0.044 0.047 0.059 0.083 0.091
0.092 0.098 0.101 0.099 0.077 0.047 0.026 0.020 0.054 0.077 0.105 0.085
0.074 0.087 0.104 0.081 0.082 0.038 0.028 0.019 0.040 0.057 0.060 0.067
0.017 0.026 0.047 0.070 0.084 0.069 0.047 0.036 0.050 0.047 0.031 0.018
0.073 0.096 0.098 0.079 0.053 0.021 0.020 0.025 0.041 0.034 0.062 0.070
0.067 0.080 0.099 0.109 0.074 0.023 0.010 0.009 0.015 0.036 0.083 0.073
0.040 0.037 0.061 0.068 0.061 0.038 0.033 0.034 0.052 0.038 0.052 0.043
0.044 0.055 0.054 0.048 0.029 0.008 0.007 0.009 0.019 0.032 0.061 0.054
0.037 0.047 0.051 0.057 0.054 0.029 0.027 0.023 0.028 0.039 0.047 0.031
0.035 0.042 0.046 0.059 0.058 0.039 0.023 0.024 0.030 0.041 0.053 0.036
0.153 0.147 0.176 0.184 0.187 0.192 0.197 0.198 0.190 0.178 0.220 0.173
0.029 0.032 0.046 0.048 0.039 0.016 0.012 0.010 0.022 0.025 0.044 0.031
0.022 0.024 0.028 0.036 0.042 0.021 0.010 0.010 0.013 0.014 0.016 0.020
0.018 0.026 0.021 0.022 0.025 0.013 0.012 0.009 0.016 0.024 0.039 0.031
0.016 0.026 0.023 0.031 0.027 0.011 0.008 0.007 0.013 0.028 0.034 0.027
0.041 0.043 0.043 0.065 0.060 0.042 0.024 0.018 0.050 0.054 0.037 0.052
0.023 0.028 0.037 0.041 0.030 0.026 0.024 0.024 0.025 0.031 0.041 0.030
0.024 0.031 0.041 0.052 0.045 0.021 0.013 0.016 0.019 0.030 0.033 0.041
0.025 0.030 0.035 0.047 0.056 0.026 0.018 0.015 0.027 0.034 0.029 0.023
0.070 0.098 0.104 0.098 0.076 0.039 0.019 0.018 0.041 0.049 0.069 0.067
0.051 0.056 0.065 0.066 0.062 0.038 0.029 0.028 0.039 0.046 0.060 0.054
