3.63 6.50 9.98 16.18 21.94 29.08 31.72 30.61 23.95 17.15 9.33 4.55
6.04 8.06 12.86 18.68 26.05 33.07 35.00 33.69 29.37 22.24 13.19 6.84
5.22 7.55 12.60 19.04 25.54 30.99 32.73 32.44 28.75 18.74 9.75 5.19
3.74 7.16 11.81 17.14 22.38 27.50 30.25 29.89 26.18 17.90 10.82 4.57
5.45 7.97 11.72 17.32 24.40 31.96 34.72 34.50 29.41 21.16 11.87 5.81
3.28 6.41 12.18 17.63 23.75 28.81 33.23 32.48 27.11 19.97 11.11 4.81
6.85 11.14 14.03 18.88 23.66 29.43 32.11 32.39 29.11 21.16 14.05 7.96
7.19 10.01 15.39 19.01 23.45 29.08 31.83 32.27 28.11 20.72 13.01 8.48
6.02 8.15 11.48 17.03 21.71 25.98 29.17 28.69 25.54 19.56 12.63 7.57
3.45 6.03 10.82 17.18 22.83 30.30 33.11 31.19 26.87 18.12 9.29 4.20
4.80 7.70 12.67 18.25 23.08 27.28 31.52 31.53 26.44 19.17 11.47 6.68
4.06 6.65 11.43 18.95 25.13 31.48 32.89 32.86 28.88 18.40 9.79 4.55
4.14 5.96 10.71 17.94 25.66 34.92 37.69 35.84 28.58 19.26 10.38 5.06
6.21 9.17 14.05 20.44 27.16 32.25 33.92 33.59 29.76 21.61 13.06 6.82
4.02 6.06 12.27 17.63 22.35 29.18 32.29 31.70 26.86 20.38 11.58 5.64
3.46 7.07 12.37 18.33 23.33 29.80 32.63 32.45 25.81 17.98 9.92 3.98
3.28 5.32 9.51 15.47 21.03 27.51 32.36 32.02 25.70 17.32 8.92 3.89
3.04 4.96 10.80 16.13 21.85 28.05 33.74 33.27 26.42 16.63 8.10 3.72
3.63 5.58 10.11 15.27 20.31 26.96 32.64 32.63 26.19 16.43 8.63 3.69
2.44 5.09 10.25 16.91 22.04 28.11 32.05 32.72 26.52 18.17 10.38 4.46
1.92 4.90 11.17 17.25 22.57 30.08 32.57 32.06 26.24 19.53 10.46 3.23
4.37 7.02 11.82 17.65 23.34 29.61 32.77 32.32 27.23 19.12 10.85 5.32
