42.08 36.11 43.14 46.29 48.99 40.71 35.06 33.85 40.15 35.44 39.45 42.63
38.39 42.21 43.53 38.87 36.99 26.22 19.74 18.17 18.34 26.34 35.43 38.39
39.62 37.75 37.74 36.63 37.31 35.53 33.46 26.93 20.00 25.75 34.67 38.19
44.65 41.22 40.26 41.09 36.75 29.11 22.81 19.12 19.62 26.34 29.04 41.71
37.72 39.49 40.39 43.78 43.50 25.19 21.58 16.48 11.89 21.06 38.65 37.19
31.59 35.84 38.16 40.02 48.67 50.35 32.55 35.21 35.67 26.50 29.58 32.13
44.61 47.85 49.81 48.42 43.92 40.40 38.15 34.26 32.27 30.66 39.33 49.20
43.47 47.73 46.47 48.82 48.39 44.61 37.89 37.06 35.40 33.72 39.45 42.08
56.57 56.90 59.94 59.12 60.02 56.91 55.49 53.50 55.90 53.57 60.35 56.59
38.63 32.15 34.48 29.07 36.42 32.73 28.19 27.77 29.20 26.20 30.85 38.18
38.59 44.54 49.37 49.89 61.02 56.37 44.91 35.90 44.35 41.57 39.69 39.24
36.93 40.76 40.15 39.61 36.04 34.41 27.93 22.57 19.40 25.88 33.79 37.12
43.32 48.83 44.20 40.44 37.14 22.16 26.01 30.10 25.79 17.90 34.66 40.36
30.32 31.87 36.07 35.90 32.78 26.47 21.41 19.21 21.59 26.80 33.24 30.86
43.35 45.57 40.50 43.25 41.58 28.49 19.66 22.06 25.78 31.87 42.51 41.90
61.43 56.70 47.08 45.22 46.29 31.31 25.09 26.51 34.76 38.51 56.75 63.42
31.00 34.89 33.05 36.62 45.27 43.66 30.90 27.99 31.38 26.97 31.75 30.98
50.31 50.26 44.90 43.75 46.20 37.17 34.49 34.31 34.13 41.49 45.54 47.06
52.69 52.87 49.32 48.52 53.33 38.34 35.90 34.50 38.25 40.36 50.49 49.99
24.16 27.44 29.01 26.85 40.02 38.39 28.92 26.10 27.62 20.65 20.16 21.62
42.83 41.40 41.36 39.36 40.96 22.63 18.70 17.31 25.83 26.89 41.25 39.01
41.54 42.50 42.33 41.98 43.89 36.25 30.42 28.52 29.87 30.69 38.41 40.85
