24.73 32.89 39.56 47.97 53.21 60.80 64.21 67.29 51.52 38.58 28.33 23.34
28.15 33.72 41.43 51.77 57.63 62.67 66.14 70.86 56.91 40.95 30.15 26.34
24.21 31.44 40.43 48.87 53.41 55.29 52.67 49.53 43.92 33.65 24.87 21.72
25.75 33.82 42.96 49.98 56.94 60.30 59.26 53.46 43.29 33.74 26.42 22.44
27.43 31.43 40.00 44.33 49.78 58.29 58.66 54.60 45.81 36.63 26.52 24.44
26.77 31.63 35.05 38.98 41.40 44.70 48.46 44.70 36.72 32.22 26.61 23.46
26.63 33.02 42.80 52.28 60.44 63.75 63.31 56.74 46.48 36.90 27.67 22.75
27.14 33.31 43.91 53.48 58.55 62.37 62.69 56.82 45.18 36.19 28.16 23.87
19.75 25.18 31.63 37.51 41.17 44.34 43.95 38.32 30.89 24.02 17.44 16.46
25.47 32.91 39.39 48.38 50.56 57.81 63.49 66.09 53.30 37.17 23.53 19.52
27.28 31.89 34.52 36.56 35.16 38.89 44.33 43.30 34.31 29.28 25.50 23.40
23.33 29.30 38.07 46.14 51.20 52.93 51.14 47.11 40.63 31.31 23.20 20.57
27.72 32.14 40.71 53.67 61.77 53.35 41.67 36.74 32.45 31.41 25.40 23.18
23.35 28.16 33.43 38.59 42.61 45.48 45.29 41.80 36.02 28.84 22.11 20.42
23.26 28.80 35.19 40.32 44.78 51.10 52.45 46.57 38.09 29.23 20.44 18.37
17.41 22.18 29.42 34.68 37.60 42.87 43.22 38.16 29.39 24.17 17.07 15.12
18.52 19.99 21.29 23.88 25.69 28.21 31.44 31.12 24.17 18.61 14.19 13.88
21.84 27.11 36.73 46.96 48.07 55.51 53.69 45.91 39.58 31.43 24.99 20.26
21.53 25.72 34.94 45.26 49.25 59.27 61.98 55.57 48.78 38.58 29.93 19.33
28.52 36.69 38.74 44.56 44.47 48.94 52.44 53.20 43.56 34.79 28.28 25.65
25.36 31.50 35.14 42.91 48.41 57.32 56.54 50.93 40.58 32.26 22.01 21.44
24.48 30.14 36.92 44.15 48.20 52.58 53.19 49.94 41.03 32.38 24.42 21.24
