0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
67.92 59.72 54.62 46.91 47.49 44.74 52.15 55.32 53.03 53.88 60.60 70.16
71.62 61.02 54.37 53.37 58.09 60.39 58.86 62.48 59.30 59.28 64.88 71.57
73.29 72.96 69.71 66.62 74.84 76.48 66.41 57.74 64.31 71.07 74.11 75.17
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
79.75 74.01 68.73 59.38 59.84 42.62 26.23 29.48 41.72 52.93 67.29 79.70
72.07 70.56 69.45 73.44 78.23 77.96 66.32 54.94 60.59 64.00 68.67 72.06
64.37 55.71 48.96 43.56 41.11 43.00 45.87 42.68 47.41 46.26 54.13 64.06
75.17 76.16 72.40 65.00 55.89 33.69 27.87 31.54 45.56 50.83 64.97 71.69
63.75 60.91 55.63 55.18 56.90 49.71 43.00 43.06 52.44 59.40 62.40 64.08
77.07 73.78 67.74 67.92 70.32 58.22 44.89 43.36 53.90 62.71 73.20 79.06
83.20 77.38 65.60 64.00 61.92 53.69 40.89 40.50 53.89 70.27 79.45 83.93
79.16 77.42 70.33 64.77 68.96 66.43 54.44 53.48 70.36 74.61 74.07 77.65
67.27 64.50 57.15 66.54 76.94 77.86 62.58 63.16 69.93 74.12 78.31 70.68
68.62 66.42 57.66 72.68 75.48 78.60 66.17 57.48 71.26 75.38 77.83 68.16
72.56 68.50 62.49 61.49 63.54 58.72 50.44 48.86 57.21 62.67 69.22 72.92
