8.76 8.82 10.13 13.25 19.08 24.38 27.95 28.14 23.97 16.37 11.48 9.56
9.27 10.30 11.80 14.20 18.78 23.64 30.39 30.46 27.08 18.31 12.71 10.45
10.02 10.57 12.00 15.50 20.51 27.06 31.66 33.75 29.53 19.50 12.88 10.90
10.47 13.39 16.34 18.46 25.35 30.98 32.69 32.05 28.96 20.47 13.14 10.50
10.31 11.96 14.35 18.85 26.73 33.28 38.55 39.19 32.65 20.86 13.60 11.31
11.40 11.56 13.96 17.17 25.63 33.50 38.35 39.14 29.40 18.17 13.42 11.66
10.63 10.69 12.36 16.33 22.93 27.58 26.54 26.91 25.36 19.59 14.46 11.68
10.22 12.24 14.37 19.84 26.05 32.18 33.72 33.02 29.82 20.79 14.17 10.60
8.59 9.62 10.91 14.41 19.46 26.93 32.12 32.47 28.34 17.28 12.23 9.17
9.94 10.96 13.53 17.40 24.78 29.44 33.96 34.67 30.72 18.02 11.90 9.21
9.89 11.42 12.82 17.79 26.37 32.46 33.15 32.67 30.26 20.86 13.97 10.29
9.24 11.30 13.91 18.94 25.72 29.68 29.65 28.88 27.27 19.76 13.93 10.36
10.16 11.68 13.26 18.58 23.68 29.31 30.52 30.43 28.78 20.50 14.09 10.96
10.04 10.99 12.15 14.76 22.12 29.72 33.85 33.57 30.85 21.51 13.87 10.86
8.52 9.64 10.64 15.19 22.68 29.33 31.99 32.25 25.24 18.70 13.30 9.62
9.27 9.82 10.86 16.01 22.20 29.04 32.03 31.78 26.12 18.50 13.29 9.23
9.79 10.94 12.71 16.67 23.25 29.28 32.32 32.46 28.40 19.32 13.28 10.40
