25.80 30.93 35.13 42.19 48.93 55.55 60.01 63.93 45.90 31.81 26.72 23.07
27.39 33.56 41.66 52.36 57.40 60.23 58.68 53.12 41.53 31.43 25.23 23.03
29.90 34.69 42.47 49.89 55.61 63.19 62.87 54.71 43.15 31.46 25.59 24.03
24.26 27.15 29.96 36.09 36.52 39.43 40.93 42.16 36.28 26.97 21.92 20.52
27.27 33.77 42.27 49.61 56.83 61.66 61.41 53.35 42.32 35.68 28.56 23.68
27.08 35.46 43.23 52.27 58.38 61.50 59.86 53.54 43.55 37.63 28.58 24.13
24.05 28.71 35.57 43.82 49.94 57.15 64.15 66.23 51.71 33.61 20.33 17.56
27.16 26.14 29.54 30.65 31.33 33.12 38.06 40.45 36.49 29.78 23.93 22.31
26.46 32.70 40.63 48.74 54.27 55.27 54.04 47.66 38.07 30.08 23.13 22.54
27.44 32.69 34.87 49.22 58.21 53.37 41.45 37.30 32.42 28.91 23.79 25.29
25.02 28.94 33.47 37.70 40.10 44.22 45.19 41.44 32.78 26.59 21.66 21.00
22.39 26.84 33.81 39.07 43.48 49.66 50.75 46.18 37.57 27.97 20.46 18.93
16.84 22.01 29.04 32.48 38.28 42.81 45.11 40.32 30.84 22.88 16.71 14.68
18.42 16.36 17.36 19.81 21.73 23.73 25.24 23.88 18.19 14.17 12.25 12.79
25.92 29.10 33.33 40.93 49.32 54.13 53.65 45.97 40.43 32.41 25.94 23.70
22.63 26.91 32.58 38.16 48.94 52.68 55.67 48.79 38.10 32.10 25.77 21.74
24.88 29.12 34.68 41.44 46.83 50.48 51.07 47.44 38.08 29.59 23.16 21.19
