20.01 36.77 67.61 103.19 126.47 134.08 129.57 110.58 90.08 53.93 28.86 16.90
28.83 48.73 72.98 101.09 115.92 127.23 133.15 118.30 98.43 64.71 39.42 25.46
30.58 52.43 76.61 99.09 113.45 120.87 121.59 107.85 87.10 62.41 38.60 25.98
35.05 55.71 84.49 109.49 132.53 145.69 152.21 136.45 100.61 66.37 42.86 31.98
32.86 57.22 87.64 118.12 139.84 154.49 147.22 125.51 90.92 53.79 36.24 27.09
33.60 54.19 83.56 116.28 145.69 165.51 153.81 139.37 114.90 69.37 41.25 29.52
27.01 46.82 78.40 109.62 138.99 153.36 155.48 133.79 100.49 62.44 34.24 23.88
27.75 47.22 77.41 110.99 137.23 151.40 154.45 134.11 97.19 62.11 35.03 21.61
28.12 49.80 76.48 106.97 129.74 145.40 140.69 123.99 95.82 66.41 39.66 23.36
27.82 49.19 78.17 108.41 124.19 130.33 123.49 107.27 87.52 66.73 45.11 29.86
35.61 57.63 88.85 114.05 131.48 144.99 142.98 127.30 103.82 73.73 45.98 32.04
33.38 51.73 79.34 102.08 123.14 129.10 132.97 114.77 89.25 64.38 39.52 27.83
34.49 58.53 92.05 116.79 143.21 162.04 160.97 140.88 114.56 72.28 42.01 28.60
37.64 62.79 92.86 124.74 147.32 160.58 159.71 139.66 106.91 71.94 46.88 33.05
38.57 59.90 90.25 116.82 141.53 155.49 150.68 130.82 107.68 73.45 47.70 34.09
38.90 58.52 90.19 119.29 143.71 158.78 150.07 130.65 112.28 74.51 45.64 34.56
42.72 69.68 105.68 139.32 166.86 181.24 173.19 154.32 130.28 90.34 58.43 39.16
33.86 57.16 85.85 118.40 139.06 150.93 136.34 119.91 97.99 68.12 43.96 28.73
31.41 54.64 84.77 113.14 132.31 150.21 138.07 118.11 95.06 66.43 38.48 28.23
34.64 54.50 87.53 122.01 146.57 166.90 153.05 130.96 109.62 72.90 42.18 27.92
36.84 58.26 90.35 120.74 143.88 155.97 146.87 128.84 104.30 72.01 44.61 32.69
32.84 54.35 84.34 113.84 136.34 149.74 145.55 127.31 101.66 68.02 41.75 28.69
